id1,id2,ratings
i,targ,0.17
expr,hint,0.22
canvas,video,0.72
idx,indx,0.91
idx,ridx,0.69
right,bottom,0.75
count,total,0.83
click,mousedown,0.94
change,keyup,0.50
change,submit,0.44
files,players,0.15
focus,resize,0.37
reset,refresh,0.81
pushStackLiteral,oldSelection,0.18
onAdd,onRemove,0.94
black,colours,0.86
maroon,darkred,0.82
cosφ0,cosφ,0.89
allocate,contextmenu,0.14
response,alert,0.60
filename,fullname,0.29
objects,records,0.68
ln,ilen,0.76
tasks,todos,0.94
images,authors,0.24
editable,dropdown,0.28
sources,adapters,0.57
ReactDOMComponent,ReactTextComponent,0.72
λ0,φ0,0.63
xMin,xMax,0.98
FunctionExpression,FunctionDeclaration,0.82
Lines,CurRange,0.38
foundMap,foundStarMap,0.82
columns,cols,0.94
dm,_queueHooks,0.20
fuchsia,pink,0.87
maxLine,maxLineLength,0.80
ExpressionStatement,FunctionDeclaration,0.64
addCls,removeCls,0.83
object2,overlapOnly,0.02
nameSegment,foundStarMap,0.04
_selection,_sel,0.98
alignCenter,alignMiddle,0.87
alignTop,popupLocationBar,0.26
targetFrame,targetFrameName,0.89
angle,radians,0.87
miny,ymin,0.80
element,dropdown,0.48
equal,eql,0.97
item,entry,0.78
events,rchecked,0.16
image,polyline,0.36
img,thumb,0.75
player,peer,0.60
files,profiles,0.35
reset,clear,0.91
username,userid,0.95
clear,refresh,0.71
disabled,Tracker,0.15
olive,darkred,0.61
selectAnchor,anchorName,0.74
names,filenames,0.80
setInterval,clearInterval,0.86
getRules,foldingRules,0.62
self_msgs,they_effects,0.07
getInstanceProp,setInstanceProp,0.90
emptyText,blankText,0.91
minText,maxText,0.91
maxText,disabledDaysText,0.06
disabledDaysText,disabledDatesText,0.87
keywordMapper,buildinConstants,0.13
VM,invokePartial,0.13
blendMode,currentBlendMode,0.90
touchmove,touchend,0.83
bindBuffer,ARRAY_BUFFER,0.67
traverseContext,mapResult,0.46
_owner,nextElement,0.16
m21,m22,0.74
child,face,0.42
displayMsg,emptyMsg,0.69
pseudoElements,pseudoClasses,0.72
lastName,firstName,0.90
Int16Array,Uint16Array,0.92
startSymbol,endSymbol,0.97
decrypt,ciphertext,0.80
rlocalProtocol,rurl,0.54
hSpace,popupFeatures,0.15
linkTab,alignMiddle,0.19
lockRatio,alignRight,0.15
substr,substring,0.94
columns,menus,0.52
history,$ERROR,0.17
deltaX,deltaY,0.91
MINUTE,SECOND,0.95
onDragStart,onDragEnd,0.98
body,agg,0.12
rows,pages,0.60
store,storage,0.93
angle,theta,0.76
foo,bar,0.61
DATE,MONTH,0.98
components,requests,0.33
modal,calendar,0.17
ids,tasks,0.46
toolbar,preview,0.09
$behaviour,foldingRules,0.26
a01,b01,0.69
material,light,0.28
camera,texture,0.27
user,person,0.86
selected,active,0.85
rows,columns,0.88
files,problems,0.06
frames,markers,0.55
objects,shortcuts,0.14
cx,sx,0.38
tr,td,0.74
foo,trow,0.12
bindBuffer,ELEMENT_ARRAY_BUFFER,0.51
navy,purple,0.70
host,author,0.57
li,span,0.29
orange,pink,0.92
CallExpression,BlockStatement,0.40
g,r,0.34
data,azimuthal,0.15
raw,movie,0.33
me,br,0.12
err,er,0.76
res,resp,0.61
content,newtext,0.48
utils,util,0.98
renderer,screen,0.62
maroon,olive,0.57
olive,pink,0.57
λ0,λ1,0.74
arrayClass,boolClass,0.68
paddingRight,paddingTop,1.00
expect,bp,0.02
items,files,0.59
disabled,visible,0.54
round,sqrt,0.52
teal,lightgrey,0.78
navy,lightblue,0.89
navy,lightgreen,0.65
navy,magenta,0.86
items,records,0.80
hide,blur,0.54
VERSION,geoJson,0.11
Util,isParam,0.22
found,rawFunc,0.09
a01,b11,0.42
gray,silver,0.91
topLevelTarget,topLevelTargetID,0.84
defHeaders,defHeaderName,0.92
get,facets,0.22
equal,cut,0.09
start,begin,0.98
visible,showing,0.90
dataMax,dataMin,0.97
len,ls,0.31
items,ranges,0.36
dispatchIDs,_dispatchIDs,0.92
maroon,lightblue,0.67
remove,focus,0.05
b01,a03,0.46
getAnimation,depot,0.03
translateX,translateY,0.96
mountDepth,updateComponent,0.06
left,bottom,0.69
nodes,filenames,0.45
records,entries,0.86
adjusted_scale,rangy,0.44
PLACEHOLDER,vertexFormat,0.18
vSpace,advisoryTitleInputLabel,0.06
styleSelectLabel,tag_h4,0.41
body,currants,0.20
alpha,rate,0.19
indices,positions,0.81
keyup,deferId,0.11
getBorderWidth,getPadding,0.85
foo,abc,0.22
files,images,0.74
layers,entries,0.37
generalTab,advancedTab,0.88
targetPopup,popupResizable,0.66
start,searches,0.13
a24,a30,0.74
push,configure,0.15
len,ln,0.85
left,top,0.76
lightgreen,lightgrey,0.64
self,that,0.49
y,z,0.48
push,ts,0.11
element,elm,0.92
id,userid,0.83
id,sessionid,0.85
expect,assume,0.75
callback,cb,0.87
container,video,0.32
container,submenu,0.43
children,columns,0.32
items,tiles,0.41
equal,ok,0.38
miny,ypos,0.68
newLength,Group,0.03
colspan,assignTo,0.08
setScrollTop,prefixWith,0.13
getMinutes,getUTCMinutes,0.91
FONTDATA,FONTS,0.85
ReactEmptyComponent,renderToStaticMarkup,0.09
images,streams,0.59
s1,s2,0.72
precondition,prereq,0.87
setAttributeNode,createAttribute,0.71
Connection,Client,0.46
dom__FixedSizeListIterator,_dom_pos,0.56
v2,v3,0.80
trim,separatedList,0.28
minVal,minValue,0.96
btnModify,btnSetValue,0.74
nodeLinkFn,childLinkFn,0.86
setMinutes,setSeconds,0.91
obj1,obj2,0.80
destroy,clear,0.81
panelTitle,panelTitle1,0.96
__dependency1__,__dependency2__,0.94
ace,__ace_shadowed__,0.79
m1,m2,0.81
latitude,longitude,0.94
item,record,0.77
cols,rects,0.42
resetSize,popupFeatures,0.14
parentWindow,scanner,0.05
popupToolbar,popupDependent,0.61
cursor,intercept,0.25
split,shim,0.33
ranges,codes,0.38
prereq,fnExists,0.11
styleSelectLabel,cssClassInputLabel,0.61
ELEMENT_NODE,TEXT_NODE,0.80
rlocalProtocol,rprotocol,0.88
listeners,cbs,0.09
ranges,expressions,0.37
segments,annotations,0.31
onPlay,onPause,0.88
clientY,_keyStr,0.11
oMatchesSelector,msMatchesSelector,0.87
re,destruct,0.06
click,dblclick,0.97
columns,requests,0.17
a11,b12,0.68
pink,brown,0.69
floor,abs,0.35
math,miny,0.38
alignTop,popupToolbar,0.20
oDomRef,structuralType,0.02
dataAndEvents,deepDataAndEvents,0.86
toggle,isLength,0.00
defaults,DomRange,0.22
advice,alternative,0.13
controller,mutator,0.38
files,locations,0.44
click,mouseup,0.87
inputs,resources,0.63
styleSelectLabel,inlineStyleInputLabel,0.66
a12,a13,0.81
abs,sqrt,0.68
cells,segments,0.69
place,written,0.10
on,immediate,0.19
links,associations,0.80
names,sources,0.61
minx,ymax,0.69
cols,domains,0.43
ELEMENT_ARRAY_BUFFER,bufferData,0.84
equals,same,0.93
nextTick,notification,0.24
