id1,id2,ratings
i,targ,0.20
canvas,video,0.69
idx,indx,0.93
idx,ridx,0.67
right,bottom,0.76
count,total,0.82
click,mousedown,0.94
change,keyup,0.50
change,submit,0.48
files,players,0.15
focus,resize,0.37
reset,refresh,0.80
pushStackLiteral,oldSelection,0.16
onAdd,onRemove,0.96
black,colours,0.87
cosφ0,cosφ,0.88
allocate,contextmenu,0.14
response,alert,0.59
filename,fullname,0.25
ln,ilen,0.76
tasks,todos,0.94
images,authors,0.31
editable,dropdown,0.32
sources,adapters,0.53
ReactDOMComponent,ReactTextComponent,0.72
λ0,φ0,0.61
xMin,xMax,0.98
FunctionExpression,FunctionDeclaration,0.85
Lines,CurRange,0.43
foundMap,foundStarMap,0.83
columns,cols,0.97
dm,_queueHooks,0.15
fuchsia,pink,0.91
maxLine,maxLineLength,0.81
ExpressionStatement,FunctionDeclaration,0.65
addCls,removeCls,0.83
object2,overlapOnly,0.03
_selection,_sel,0.98
alignCenter,alignMiddle,0.83
alignTop,popupLocationBar,0.29
targetFrame,targetFrameName,0.91
angle,radians,0.92
miny,ymin,0.81
equal,eql,0.98
item,entry,0.79
events,rchecked,0.15
image,polyline,0.37
img,thumb,0.81
player,peer,0.67
files,profiles,0.24
reset,clear,0.90
username,userid,0.97
clear,refresh,0.71
disabled,Tracker,0.19
olive,darkred,0.61
selectAnchor,anchorName,0.68
names,filenames,0.80
setInterval,clearInterval,0.91
getRules,foldingRules,0.68
self_msgs,they_effects,0.05
getInstanceProp,setInstanceProp,0.92
emptyText,blankText,0.89
minText,maxText,0.96
maxText,disabledDaysText,0.07
disabledDaysText,disabledDatesText,0.88
keywordMapper,buildinConstants,0.09
VM,invokePartial,0.13
blendMode,currentBlendMode,0.98
touchmove,touchend,0.84
bindBuffer,ARRAY_BUFFER,0.64
traverseContext,mapResult,0.48
_owner,nextElement,0.05
m21,m22,0.76
child,face,0.39
displayMsg,emptyMsg,0.70
pseudoElements,pseudoClasses,0.81
lastName,firstName,0.90
Int16Array,Uint16Array,0.95
startSymbol,endSymbol,0.98
decrypt,ciphertext,0.79
rlocalProtocol,rurl,0.56
hSpace,popupFeatures,0.12
linkTab,alignMiddle,0.16
lockRatio,alignRight,0.16
substr,substring,0.93
columns,menus,0.55
history,$ERROR,0.20
deltaX,deltaY,0.91
MINUTE,SECOND,0.96
onDragStart,onDragEnd,0.98
body,agg,0.11
rows,pages,0.52
store,storage,0.93
angle,theta,0.81
foo,bar,0.63
DATE,MONTH,1.00
modal,calendar,0.03
ids,tasks,0.48
orange,pink,0.93
CallExpression,BlockStatement,0.41
data,azimuthal,0.16
raw,movie,0.31
expect,bp,0.03
utils,util,0.98
items,files,0.59
disabled,visible,0.63
round,sqrt,0.55
teal,lightgrey,0.87
navy,lightblue,0.93
navy,lightgreen,0.74
navy,magenta,0.84
equal,cut,0.13
start,begin,0.98
renderer,screen,0.66
visible,showing,0.91
foo,trow,0.07
arrayClass,boolClass,0.65
me,br,0.10
items,records,0.84
items,ranges,0.34
bindBuffer,ELEMENT_ARRAY_BUFFER,0.48
dispatchIDs,_dispatchIDs,0.96
maroon,lightblue,0.72
remove,focus,0.06
getAnimation,depot,0.04
nodes,filenames,0.50
cx,sx,0.41
records,entries,0.89
adjusted_scale,rangy,0.48
PLACEHOLDER,vertexFormat,0.09
vSpace,advisoryTitleInputLabel,0.08
λ0,λ1,0.74
start,searches,0.14
navy,purple,0.69
olive,pink,0.52
push,configure,0.13
len,ln,0.85
left,top,0.77
self,that,0.46
y,z,0.58
element,elm,0.94
id,userid,0.84
id,sessionid,0.94
equal,ok,0.39
container,video,0.41
miny,ypos,0.69
newLength,Group,0.02
colspan,assignTo,0.08
setScrollTop,prefixWith,0.15
getMinutes,getUTCMinutes,0.93
FONTDATA,FONTS,0.86
ReactEmptyComponent,renderToStaticMarkup,0.09
images,streams,0.64
VERSION,geoJson,0.09
s1,s2,0.74
precondition,prereq,0.91
setAttributeNode,createAttribute,0.77
Connection,Client,0.44
dom__FixedSizeListIterator,_dom_pos,0.58
v2,v3,0.80
container,submenu,0.44
children,columns,0.41
items,tiles,0.46
trim,separatedList,0.33
minVal,minValue,0.95
push,ts,0.11
expect,assume,0.81
btnModify,btnSetValue,0.72
nodeLinkFn,childLinkFn,0.86
setMinutes,setSeconds,0.90
obj1,obj2,0.79
destroy,clear,0.79
panelTitle,panelTitle1,0.97
__dependency1__,__dependency2__,0.93
ace,__ace_shadowed__,0.82
m1,m2,0.86
latitude,longitude,0.93
item,record,0.77
cols,rects,0.46
resetSize,popupFeatures,0.19
callback,cb,0.86
parentWindow,scanner,0.03
targetPopup,popupResizable,0.58
popupToolbar,popupDependent,0.59
cursor,intercept,0.22
split,shim,0.39
ranges,codes,0.43
generalTab,advancedTab,0.87
styleSelectLabel,cssClassInputLabel,0.67
getBorderWidth,getPadding,0.83
ELEMENT_NODE,TEXT_NODE,0.81
rlocalProtocol,rprotocol,0.90
listeners,cbs,0.14
tr,td,0.81
user,person,0.84
onPlay,onPause,0.87
topLevelTarget,topLevelTargetID,0.87
clientY,_keyStr,0.10
oMatchesSelector,msMatchesSelector,0.86
re,destruct,0.07
translateX,translateY,0.95
click,dblclick,0.97
columns,requests,0.16
a11,b12,0.63
pink,brown,0.72
floor,abs,0.46
math,miny,0.36
toggle,isLength,0.01
paddingRight,paddingTop,1.00
dataAndEvents,deepDataAndEvents,0.84
found,rawFunc,0.10
alpha,rate,0.22
layers,entries,0.43
keyup,deferId,0.14
material,light,0.34
controller,mutator,0.37
files,locations,0.48
files,problems,0.07
frames,markers,0.56
objects,shortcuts,0.15
a01,b11,0.48
defHeaders,defHeaderName,0.96
click,mouseup,0.91
inputs,resources,0.63
advice,alternative,0.13
body,currants,0.22
a12,a13,0.76
abs,sqrt,0.74
cells,segments,0.70
place,written,0.13
names,sources,0.60
Util,isParam,0.17
minx,ymax,0.70
segments,annotations,0.31
cols,domains,0.40
ELEMENT_ARRAY_BUFFER,bufferData,0.86
cfg,conf,0.90
userA,userB,0.93
columns,datasets,0.42
limit,exponent,0.34
oDomRef,structuralType,0.00
camera,texture,0.20
selected,active,0.87
rows,columns,0.87
nextTick,notification,0.30
ui,secret,0.07
