id1,id2,ratings
i,targ,0.34
canvas,video,0.36
idx,indx,0.93
idx,ridx,0.43
right,bottom,0.08
count,total,0.81
click,mousedown,0.78
change,keyup,0.35
change,submit,0.35
files,players,0.12
focus,resize,0.15
reset,refresh,0.62
pushStackLiteral,oldSelection,0.04
onAdd,onRemove,0.02
black,colours,0.08
cosφ0,cosφ,0.59
allocate,contextmenu,0.10
response,alert,0.21
filename,fullname,0.15
ln,ilen,0.69
tasks,todos,0.98
images,authors,0.02
editable,dropdown,0.06
sources,adapters,0.40
ReactDOMComponent,ReactTextComponent,0.52
λ0,φ0,0.17
xMin,xMax,0.02
FunctionExpression,FunctionDeclaration,0.31
Lines,CurRange,0.33
foundMap,foundStarMap,0.71
columns,cols,0.97
dm,_queueHooks,0.11
fuchsia,pink,0.75
maxLine,maxLineLength,0.58
ExpressionStatement,FunctionDeclaration,0.31
addCls,removeCls,0.16
object2,overlapOnly,0.07
_selection,_sel,0.98
alignCenter,alignMiddle,0.66
alignTop,popupLocationBar,0.12
targetFrame,targetFrameName,0.86
angle,radians,0.60
miny,ymin,1.00
equal,eql,0.98
item,entry,0.83
events,rchecked,0.14
image,polyline,0.22
img,thumb,0.70
player,peer,0.45
files,profiles,0.16
reset,clear,0.88
username,userid,0.60
clear,refresh,0.45
disabled,Tracker,0.03
olive,darkred,0.07
selectAnchor,anchorName,0.31
names,filenames,0.62
setInterval,clearInterval,0.07
getRules,foldingRules,0.38
self_msgs,they_effects,0.07
getInstanceProp,setInstanceProp,0.00
emptyText,blankText,0.89
minText,maxText,0.00
maxText,disabledDaysText,0.00
disabledDaysText,disabledDatesText,0.36
keywordMapper,buildinConstants,0.06
VM,invokePartial,0.03
blendMode,currentBlendMode,0.75
touchmove,touchend,0.22
bindBuffer,ARRAY_BUFFER,0.28
traverseContext,mapResult,0.40
_owner,nextElement,0.02
m21,m22,0.16
child,face,0.11
displayMsg,emptyMsg,0.19
pseudoElements,pseudoClasses,0.45
lastName,firstName,0.06
Int16Array,Uint16Array,0.47
startSymbol,endSymbol,0.04
decrypt,ciphertext,0.37
rlocalProtocol,rurl,0.30
hSpace,popupFeatures,0.02
linkTab,alignMiddle,0.09
lockRatio,alignRight,0.02
substr,substring,1.00
columns,menus,0.39
history,$ERROR,0.02
deltaX,deltaY,0.29
MINUTE,SECOND,0.12
onDragStart,onDragEnd,0.13
body,agg,0.08
rows,pages,0.17
store,storage,0.83
angle,theta,0.75
foo,bar,0.52
DATE,MONTH,0.23
modal,calendar,0.02
ids,tasks,0.33
orange,pink,0.16
CallExpression,BlockStatement,0.20
data,azimuthal,0.17
raw,movie,0.10
expect,bp,0.05
utils,util,0.75
items,files,0.60
disabled,visible,0.12
round,sqrt,0.04
teal,lightgrey,0.25
navy,lightblue,0.42
navy,lightgreen,0.12
navy,magenta,0.21
equal,cut,0.05
start,begin,0.94
renderer,screen,0.47
visible,showing,0.84
foo,trow,0.21
arrayClass,boolClass,0.20
me,br,0.16
items,records,0.72
items,ranges,0.20
bindBuffer,ELEMENT_ARRAY_BUFFER,0.25
dispatchIDs,_dispatchIDs,0.82
maroon,lightblue,0.02
remove,focus,0.06
getAnimation,depot,0.04
nodes,filenames,0.23
cx,sx,0.38
records,entries,0.91
adjusted_scale,rangy,0.33
PLACEHOLDER,vertexFormat,0.07
vSpace,advisoryTitleInputLabel,0.08
λ0,λ1,0.20
start,searches,0.12
navy,purple,0.23
olive,pink,0.06
push,configure,0.06
len,ln,0.81
left,top,0.05
self,that,0.30
y,z,0.44
element,elm,0.87
id,userid,0.79
id,sessionid,0.79
equal,ok,0.33
container,video,0.23
miny,ypos,0.30
newLength,Group,0.03
colspan,assignTo,0.06
setScrollTop,prefixWith,0.08
getMinutes,getUTCMinutes,0.75
FONTDATA,FONTS,0.57
ReactEmptyComponent,renderToStaticMarkup,0.10
images,streams,0.25
VERSION,geoJson,0.07
s1,s2,0.42
precondition,prereq,0.85
