id1,id2,ratings
i,targ,0.03
allocate,contextmenu,0.08
objects,records,0.89
ln,ilen,0.86
ReactDOMComponent,ReactTextComponent,0.81
λ0,φ0,0.24
idx,indx,0.96
idx,ridx,0.32
ranges,codes,0.04
topLevelTarget,topLevelTargetID,0.77
store,storage,0.74
indices,positions,0.98
files,filenames,0.92
getRules,foldingRules,0.08
λ0,λ1,0.18
cosφ0,cosφ,0.76
fuchsia,pink,0.99
maxLine,maxLineLength,0.72
alignCenter,alignMiddle,0.56
targetFrame,targetFrameName,0.94
angle,radians,0.91
equal,eql,0.98
item,entry,0.92
events,rchecked,0.18
image,polyline,0.02
img,thumb,0.77
reset,clear,0.94
reset,refresh,0.98
names,filenames,0.80
getInstanceProp,setInstanceProp,0.10
emptyText,blankText,0.97
disabledDaysText,disabledDatesText,0.69
blendMode,currentBlendMode,0.92
click,mousedown,0.31
click,mouseup,0.14
substr,substring,0.89
user,person,0.85
PLACEHOLDER,vertexFormat,0.30
hSpace,popupFeatures,0.00
columns,menus,0.04
angle,theta,0.92
foo,bar,0.82
$behaviour,foldingRules,0.08
foo,abc,0.82
cols,domains,0.18
count,total,0.79
CallExpression,BlockStatement,0.24
raw,movie,0.28
err,er,0.89
res,resp,0.92
utils,util,0.95
expect,bp,0.11
items,files,0.75
navy,lightblue,0.23
remove,focus,0.11
items,records,0.80
VERSION,geoJson,0.16
bindBuffer,ELEMENT_ARRAY_BUFFER,0.28
gray,silver,0.11
defHeaders,defHeaderName,0.81
get,facets,0.21
files,images,0.81
nodeLinkFn,childLinkFn,0.88
b01,a03,0.08
records,entries,1.00
adjusted_scale,rangy,0.24
vSpace,advisoryTitleInputLabel,0.05
styleSelectLabel,tag_h4,0.14
a24,a30,0.73
generalTab,advancedTab,0.00
len,ln,0.84
lightgreen,lightgrey,0.22
self,that,0.46
id,userid,0.87
id,sessionid,0.92
expect,assume,0.80
container,submenu,0.24
miny,ypos,0.02
getMinutes,getUTCMinutes,0.98
images,streams,0.04
precondition,prereq,0.82
minVal,minValue,0.69
btnModify,btnSetValue,0.83
setMinutes,setSeconds,0.06
obj1,obj2,0.60
destroy,clear,0.83
panelTitle,panelTitle1,0.62
ace,__ace_shadowed__,0.35
popupToolbar,popupDependent,0.39
split,shim,0.24
styleSelectLabel,cssClassInputLabel,0.85
getBorderWidth,getPadding,0.60
item,record,0.97
ELEMENT_NODE,TEXT_NODE,0.81
rlocalProtocol,rprotocol,0.94
listeners,cbs,0.14
destroy,dispose,0.30
re,destruct,0.02
oMatchesSelector,msMatchesSelector,0.48
a11,b12,0.11
dataAndEvents,deepDataAndEvents,0.84
toggle,isLength,0.11
on,immediate,0.21
selected,active,0.89
cfg,conf,0.94
controller,mutator,0.24
body,currants,0.28
names,sources,0.35
minx,ymax,0.04
equals,same,0.72
wrapper,scroller,0.04
userA,userB,0.80
builtinConstants,buildinConstants,0.90
