id1,id2,ratings
response,alert,0.63
ln,ilen,0.79
tasks,todos,0.93
images,authors,0.30
editable,dropdown,0.33
ReactDOMComponent,ReactTextComponent,0.72
foundMap,foundStarMap,0.83
columns,cols,0.97
dm,_queueHooks,0.15
pushStackLiteral,oldSelection,0.11
fuchsia,pink,0.95
ExpressionStatement,FunctionDeclaration,0.62
object2,overlapOnly,0.04
_selection,_sel,0.98
alignTop,popupLocationBar,0.30
miny,ymin,0.79
equal,eql,1.00
item,entry,0.74
image,polyline,0.45
player,peer,0.66
files,profiles,0.27
reset,clear,0.95
reset,refresh,0.79
username,userid,0.98
clear,refresh,0.70
olive,darkred,0.58
selectAnchor,anchorName,0.74
names,filenames,0.78
setInterval,clearInterval,0.89
getRules,foldingRules,0.66
self_msgs,they_effects,0.03
getInstanceProp,setInstanceProp,0.95
emptyText,blankText,0.96
minText,maxText,0.96
maxText,disabledDaysText,0.03
disabledDaysText,disabledDatesText,0.90
keywordMapper,buildinConstants,0.03
VM,invokePartial,0.14
blendMode,currentBlendMode,0.97
touchmove,touchend,0.87
bindBuffer,ARRAY_BUFFER,0.63
click,mousedown,0.93
files,players,0.17
_owner,nextElement,0.03
child,face,0.37
displayMsg,emptyMsg,0.67
pseudoElements,pseudoClasses,0.79
lastName,firstName,0.90
Int16Array,Uint16Array,0.95
startSymbol,endSymbol,0.98
decrypt,ciphertext,0.84
rlocalProtocol,rurl,0.59
hSpace,popupFeatures,0.14
linkTab,alignMiddle,0.09
lockRatio,alignRight,0.14
substr,substring,0.93
change,submit,0.43
columns,menus,0.56
deltaX,deltaY,0.90
MINUTE,SECOND,0.96
onDragStart,onDragEnd,0.98
expect,bp,0.04
items,files,0.58
disabled,visible,0.71
round,sqrt,0.57
teal,lightgrey,0.87
navy,lightblue,0.95
navy,magenta,0.91
equal,cut,0.12
start,begin,0.97
visible,showing,0.93
arrayClass,boolClass,0.64
me,br,0.10
dispatchIDs,_dispatchIDs,0.95
getAnimation,depot,0.03
cx,sx,0.44
records,entries,0.89
adjusted_scale,rangy,0.48
vSpace,advisoryTitleInputLabel,0.06
start,searches,0.15
len,ln,0.90
self,that,0.40
y,z,0.66
element,elm,0.95
id,userid,0.86
miny,ypos,0.69
newLength,Group,0.02
colspan,assignTo,0.08
setScrollTop,prefixWith,0.16
getMinutes,getUTCMinutes,0.93
FONTDATA,FONTS,0.89
ReactEmptyComponent,renderToStaticMarkup,0.05
VERSION,geoJson,0.12
s1,s2,0.76
precondition,prereq,0.93
setAttributeNode,createAttribute,0.78
Connection,Client,0.41
dom__FixedSizeListIterator,_dom_pos,0.50
v2,v3,0.80
onAdd,onRemove,0.97
destroy,clear,0.84
panelTitle,panelTitle1,0.96
__dependency1__,__dependency2__,0.92
minVal,minValue,0.96
ace,__ace_shadowed__,0.82
m1,m2,0.87
latitude,longitude,0.96
cols,rects,0.45
resetSize,popupFeatures,0.16
trim,separatedList,0.34
parentWindow,scanner,0.00
targetPopup,popupResizable,0.62
popupToolbar,popupDependent,0.62
split,shim,0.36
generalTab,advancedTab,0.87
ELEMENT_NODE,TEXT_NODE,0.82
rlocalProtocol,rprotocol,0.89
listeners,cbs,0.14
user,person,0.89
onPlay,onPause,0.89
re,destruct,0.07
translateX,translateY,0.95
click,dblclick,0.97
columns,requests,0.12
oMatchesSelector,msMatchesSelector,0.89
a11,b12,0.68
pink,brown,0.74
floor,abs,0.45
math,miny,0.31
toggle,isLength,0.01
found,rawFunc,0.10
material,light,0.34
controller,mutator,0.37
files,locations,0.55
files,problems,0.07
frames,markers,0.58
objects,shortcuts,0.15
a01,b11,0.46
defHeaders,defHeaderName,0.98
right,bottom,0.78
count,total,0.80
click,mouseup,0.91
inputs,resources,0.62
advice,alternative,0.11
abs,sqrt,0.72
cells,segments,0.74
place,written,0.11
names,sources,0.58
minx,ymax,0.67
segments,annotations,0.32
ELEMENT_ARRAY_BUFFER,bufferData,0.87
body,currants,0.22
cfg,conf,0.91
userA,userB,0.94
keyup,deferId,0.09
columns,datasets,0.45
getBorderWidth,getPadding,0.81
obj1,obj2,0.79
limit,exponent,0.34
camera,texture,0.17
selected,active,0.91
rows,columns,0.92
body,agg,0.09
ui,secret,0.07
dataAndEvents,deepDataAndEvents,0.85
oDomRef,structuralType,0.00
