id1,id2,ratings
response,alert,0.25
ln,ilen,0.77
tasks,todos,0.98
images,authors,0.02
editable,dropdown,0.06
ReactDOMComponent,ReactTextComponent,0.48
foundMap,foundStarMap,0.70
columns,cols,0.97
dm,_queueHooks,0.11
pushStackLiteral,oldSelection,0.05
fuchsia,pink,0.78
ExpressionStatement,FunctionDeclaration,0.20
object2,overlapOnly,0.08
_selection,_sel,0.98
alignTop,popupLocationBar,0.15
miny,ymin,1.00
equal,eql,1.00
item,entry,0.78
image,polyline,0.23
player,peer,0.40
files,profiles,0.17
reset,clear,0.95
reset,refresh,0.63
username,userid,0.58
clear,refresh,0.44
olive,darkred,0.08
selectAnchor,anchorName,0.35
names,filenames,0.62
setInterval,clearInterval,0.06
getRules,foldingRules,0.35
self_msgs,they_effects,0.05
getInstanceProp,setInstanceProp,0.00
emptyText,blankText,0.90
minText,maxText,0.00
maxText,disabledDaysText,0.00
disabledDaysText,disabledDatesText,0.38
keywordMapper,buildinConstants,0.05
VM,invokePartial,0.04
blendMode,currentBlendMode,0.75
touchmove,touchend,0.23
bindBuffer,ARRAY_BUFFER,0.28
click,mousedown,0.79
files,players,0.16
_owner,nextElement,0.03
child,face,0.12
displayMsg,emptyMsg,0.20
pseudoElements,pseudoClasses,0.47
lastName,firstName,0.06
Int16Array,Uint16Array,0.45
startSymbol,endSymbol,0.05
decrypt,ciphertext,0.36
rlocalProtocol,rurl,0.32
hSpace,popupFeatures,0.02
linkTab,alignMiddle,0.06
lockRatio,alignRight,0.00
substr,substring,1.00
change,submit,0.40
columns,menus,0.40
deltaX,deltaY,0.20
MINUTE,SECOND,0.12
onDragStart,onDragEnd,0.15
expect,bp,0.06
items,files,0.57
disabled,visible,0.17
round,sqrt,0.02
teal,lightgrey,0.25
navy,lightblue,0.36
navy,magenta,0.25
equal,cut,0.05
start,begin,0.93
visible,showing,0.85
arrayClass,boolClass,0.19
me,br,0.16
dispatchIDs,_dispatchIDs,0.80
getAnimation,depot,0.02
cx,sx,0.41
records,entries,0.91
adjusted_scale,rangy,0.33
vSpace,advisoryTitleInputLabel,0.06
start,searches,0.10
len,ln,0.85
self,that,0.17
y,z,0.47
element,elm,0.89
id,userid,0.82
miny,ypos,0.30
newLength,Group,0.03
colspan,assignTo,0.06
setScrollTop,prefixWith,0.10
getMinutes,getUTCMinutes,0.80
FONTDATA,FONTS,0.58
ReactEmptyComponent,renderToStaticMarkup,0.07
VERSION,geoJson,0.09
s1,s2,0.46
precondition,prereq,0.84
setAttributeNode,createAttribute,0.39
Connection,Client,0.21
dom__FixedSizeListIterator,_dom_pos,0.23
v2,v3,0.29
onAdd,onRemove,0.03
destroy,clear,0.68
panelTitle,panelTitle1,0.92
__dependency1__,__dependency2__,0.44
minVal,minValue,0.96
ace,__ace_shadowed__,0.50
m1,m2,0.66
latitude,longitude,0.02
cols,rects,0.17
resetSize,popupFeatures,0.04
trim,separatedList,0.20
parentWindow,scanner,0.07
targetPopup,popupResizable,0.30
popupToolbar,popupDependent,0.17
split,shim,0.27
generalTab,advancedTab,0.33
ELEMENT_NODE,TEXT_NODE,0.48
rlocalProtocol,rprotocol,0.68
listeners,cbs,0.12
user,person,0.94
onPlay,onPause,0.16
re,destruct,0.02
translateX,translateY,0.23
click,dblclick,0.23
columns,requests,0.14
oMatchesSelector,msMatchesSelector,0.67
a11,b12,0.23
pink,brown,0.04
floor,abs,0.11
math,miny,0.02
toggle,isLength,0.02
found,rawFunc,0.04
material,light,0.08
controller,mutator,0.33
files,locations,0.50
files,problems,0.05
frames,markers,0.21
objects,shortcuts,0.11
a01,b11,0.17
defHeaders,defHeaderName,0.50
right,bottom,0.10
count,total,0.85
click,mouseup,0.52
inputs,resources,0.38
advice,alternative,0.07
abs,sqrt,0.02
cells,segments,0.62
place,written,0.03
names,sources,0.57
minx,ymax,0.10
segments,annotations,0.25
ELEMENT_ARRAY_BUFFER,bufferData,0.47
body,currants,0.15
cfg,conf,1.00
userA,userB,0.52
keyup,deferId,0.07
columns,datasets,0.20
getBorderWidth,getPadding,0.43
obj1,obj2,0.64
limit,exponent,0.18
camera,texture,0.06
selected,active,0.81
rows,columns,0.03
body,agg,0.05
ui,secret,0.06
dataAndEvents,deepDataAndEvents,0.71
oDomRef,structuralType,0.08
