Identifier,Occurrences-javascript,Occurrences-Pyhton,Occurrences-java
i,629413,50424,119424
util,22449,7806,70841
element,100359,5785,47354
get,79905,56807,44028
equals,6137,462,41392
id,113332,26583,21015
ui,25237,2986,19050
data,214154,58945,18622
client,8782,23064,16223
item,51110,16592,13077
entry,7360,4918,12189
r,48613,22465,11869
response,20762,32365,11830
start,69321,13291,11624
remove,26691,5121,8638
user,10895,28112,8171
date,48431,5239,7898
player,4070,1204,7832
refresh,3701,774,7682
y,132617,22043,6836
substring,13004,17,6833
utils,19250,17903,6791
content,19825,9315,6653
math,74505,2616,6307
connection,5553,8987,5373
count,19287,11934,5273
br,1324,362,4826
container,26698,2924,4733
image,7890,7303,4719
trim,10839,118,4655
resources,1051,1841,4589
events,30026,2522,4532
version,11798,13414,4468
group,15833,11055,4396
clear,4946,2682,4376
res,28287,15527,4298
filename,7905,17488,4283
child,25749,6200,4214
calendar,3981,745,4170
left,53942,3051,4106
right,21687,2536,3893
cursor,15917,5284,3670
scanner,625,370,3639
len,47682,54133,3177
annotations,614,518,2980
split,31248,14986,2877
g,25191,10783,2854
children,25799,3832,2849
username,3815,7888,2841
body,47951,12643,2599
change,5643,928,2546
err,54170,6367,2499
controller,7980,2214,2370
sender,1138,2664,2265
entries,2427,1065,2249
callback,92448,5126,2200
on,42448,494,2045
items,21067,12543,2038
names,7174,3873,2020
userid,2053,359,2016
foo,3989,3077,1953
z,14885,6131,1884
dispose,4022,175,1844
person,794,1374,1801
reset,5791,1633,1737
idx,12638,5062,1702
notification,2130,876,1672
nodes,15336,4282,1647
store,13427,2196,1645
host,9176,9689,1628
files,7029,4560,1597
push,129293,943,1594
conf,5563,9226,1442
top,40910,3412,1357
components,3390,1119,1250
ok,17036,2405,1226
second,4407,1004,1220
self,123898,1367832,1212
listeners,6490,241,1208
that,40122,74,1162
click,9373,1731,1152
wrapper,7114,1732,1122
ls,826,574,1062
nextelement,408,0,1056
expr,28065,4458,1050
objects,3062,19952,1002
found,7827,1386,976
re,5967,14117,943
SUM,2700,4380,934
record,9054,4097,932
begin,3775,916,924
canvas,12341,1254,905
adapters,310,200,901
s1,2259,1420,896
author,872,3068,855
abs,8915,2159,852
alert,3175,516,846
rows,7904,2626,843
resp,3041,9317,840
visible,5517,815,823
renderer,8457,476,801
s2,1819,1167,789
configure,920,1061,778
month,6747,1316,776
bufferdata,441,0,774
selected,13902,785,769
tr,3464,804,745
movie,192,130,738
total,5755,1910,712
ts,7440,2074,706
me,37988,503,699
minute,1288,459,689
material,6265,154,689
lines,10450,6125,680
texture,6406,173,667
v2,3162,1459,660
firstname,669,139,660
positions,1922,329,657
limit,4415,3352,649
problems,112,352,645
lastname,611,110,642
players,568,514,629
equal,52763,493,611
camera,3920,312,611
toolbar,4113,345,610
history,5492,1071,609
destroy,9551,657,609
sessionid,606,160,608
polyline,626,27,606
tasks,2403,1334,598
ids,3302,1288,597
ln,2257,349,587
bar,2909,1536,568
bottom,9802,612,537
columns,4331,3582,533
sqrt,3331,2138,533
active,8997,1276,529
img,6264,2057,522
cb,17002,1147,503
precondition,407,18,501
locations,709,586,490
place,919,402,476
tracker,647,236,460
peer,485,474,457
sources,2643,1172,434
submenu,370,157,432
pages,1756,592,406
focus,9618,263,396
round,8063,1438,392
raw,10202,2573,391
dm,698,261,387
expect,43201,2615,377
defaults,10805,2473,377
indices,2708,1498,375
submit,2033,373,373
vm,2032,976,372
black,487,184,367
cols,2878,1452,358
alpha,4681,2505,349
segments,1615,443,345
disabled,11805,290,344
expressions,1329,125,337
angle,5344,528,323
cx,3416,536,311
newtext,866,95,311
storage,3469,2928,310
fullname,1815,931,293
markers,1535,293,293
functionexpression,125,2,272
filenames,203,1078,261
orange,308,104,256
m1,2254,702,251
cfg,6926,4543,241
rate,772,519,239
ranges,4207,367,234
onpause,247,2,233
m2,1529,759,232
functiondeclaration,171,3,230
links,2637,1062,224
element_node,398,99,220
records,2744,948,214
images,1319,1577,209
contextmenu,1506,20,207
hide,13234,411,203
floor,8493,356,199
longitude,702,399,192
screen,1214,812,190
resize,3599,545,189
newlength,364,0,188
inputs,2184,3304,183
profiles,119,260,183
latitude,721,408,182
obj2,630,262,178
fontdata,236,1,178
cut,721,125,177
placeholder,3212,525,168
gray,209,164,166
padding,5811,771,156
alternative,533,158,155
requests,982,2703,154
layers,2984,1069,151
cells,2442,390,150
margin,7867,278,149
hint,828,292,142
audio,1634,193,134
scroller,2333,22,132
span,3205,400,130
decrypt,178,215,125
progressbar,532,185,119
face,3504,240,113
video,1679,429,109
codes,480,579,102
bp,2594,565,102
preview,1064,98,100
authors,351,347,98
er,2096,102,97
frames,2800,481,95
fonts,561,139,95
td,4556,583,94
v3,1287,137,88
mousedown,1267,2,87
secret,701,1003,85
sx,1848,196,83
same,1681,87,82
intercept,110,56,80
text_node,387,101,79
mutator,404,18,78
deltax,1214,10,76
expressionstatement,107,2,76
toggle,3952,89,75
minx,1763,108,73
minvalue,877,52,73
allocate,1988,49,70
editable,1828,631,69
exponent,541,161,68
tiles,388,63,68
object2,755,7,64
miny,1733,96,63
streams,838,267,61
getminutes,856,5,60
li,3180,242,58
indx,816,93,57
deltay,1214,9,57
blockstatement,317,9,56
scalex,1053,3,55
scaley,980,2,55
ciphertext,164,319,54
mouseup,806,2,54
theta,1254,765,53
xmin,444,374,53
todos,368,34,53
createattribute,196,4,52
xmax,465,355,51
colspan,966,90,43
domains,295,436,41
ymax,551,386,41
ymin,502,359,41
menus,420,134,41
obj1,569,258,40
advice,389,2,38
modal,2897,32,37
trow,156,9,34
written,192,142,32
hspace,291,24,30
vspace,276,6,30
substr,11296,269,29
associations,145,26,29
targ,164,248,28
dropdown,1522,10,28
ypos,454,46,27
keyup,749,11,24
minval,148,101,23
immediate,731,91,22
getrules,328,4,22
pink,109,8,20
showing,186,5,19
magenta,168,88,18
blur,3414,42,18
setminutes,382,1,18
isparam,156,0,17
emptytext,355,0,16
assume,190,4,15
getborderwidth,221,6,14
blendmode,308,1,14
setseconds,235,1,14
purple,174,33,13
radians,515,166,12
colours,162,91,12
getpadding,278,4,11
_owner,433,205,10
m21,370,17,10
elm,4804,262,8
light,1959,189,8
startsymbol,432,0,8
onadd,390,0,8
maxtext,305,0,8
maxlinelength,132,0,8
m22,378,19,7
brown,107,14,7
setinterval,2419,11,7
timeend,228,9,7
updatecomponent,112,0,7
prereq,411,37,6
rects,310,21,6
ilen,1562,5,6
getanimation,136,2,6
onremove,410,0,6
agg,402,216,5
cbs,331,32,5
alignright,170,22,5
destruct,102,11,5
setattributenode,181,6,5
oldselection,130,0,5
facets,253,118,4
ace,1630,41,4
paddingright,251,5,4
shortcuts,271,581,3
searches,148,7,3
generaltab,96,2,3
lightblue,105,1,3
endsymbol,422,0,3
setscrolltop,349,0,3
foundmap,184,0,3
abc,116,837,2
ridx,62,17,2
aligntop,129,9,2
parentwindow,758,3,2
darkred,104,3,2
bindbuffer,869,0,2
islength,379,0,2
onplay,205,0,2
datasets,282,645,0
thumb,898,259,0
geojson,693,95,0
shim,1538,44,0
aligncenter,98,34,0
_selection,209,26,0
targetframe,110,18,0
array_buffer,1092,12,0
maxline,179,11,0
depot,122,10,0
silver,162,9,0
ondragstart,226,7,0
userb,180,6,0
displaymsg,102,6,0
a11,470,5,0
a12,464,5,0
paddingtop,378,5,0
a13,343,5,0
usera,219,5,0
teal,104,5,0
eql,2818,4,0
b11,221,4,0
mapresult,122,4,0
b12,114,4,0
clienty,2562,3,0
_sel,180,3,0
b01,142,3,0
ondragend,117,3,0
a24,103,3,0
a01,353,2,0
translatey,348,2,0
getutcminutes,326,2,0
currange,216,2,0
callexpression,184,2,0
a30,118,2,0
lightgreen,105,2,0
int16array,227,1,0
maroon,159,1,0
navy,147,1,0
olive,147,1,0
fuchsia,120,1,0
popupfeatures,115,1,0
lightgrey,101,1,0
targetframename,101,1,0
$error,4487,0,0
dataandevents,3074,0,0
deepdataandevents,2575,0,0
clearinterval,2242,0,0
nexttick,2233,0,0
_queuehooks,1173,0,0
rchecked,796,0,0
nodelinkfn,690,0,0
rurl,663,0,0
topleveltarget,532,0,0
keywordmapper,530,0,0
λ0,503,0,0
φ0,484,0,0
fnexists,475,0,0
paneltitle,467,0,0
__dependency1__,456,0,0
uint16array,444,0,0
topleveltargetid,426,0,0
rprotocol,420,0,0
msmatchesselector,412,0,0
rlocalprotocol,412,0,0
λ1,398,0,0
omatchesselector,397,0,0
foldingrules,391,0,0
translatex,386,0,0
assignto,385,0,0
touchend,359,0,0
childlinkfn,341,0,0
odomref,338,0,0
touchmove,338,0,0
arrayclass,313,0,0
element_array_buffer,311,0,0
__ace_shadowed__,306,0,0
cosφ,304,0,0
mintext,304,0,0
ontouchstart,300,0,0
addcls,284,0,0
adjusted_scale,282,0,0
getinstanceprop,277,0,0
overlaponly,266,0,0
traversecontext,265,0,0
boolclass,262,0,0
datamin,262,0,0
datamax,260,0,0
$behaviour,257,0,0
__dependency2__,246,0,0
removecls,235,0,0
currentblendmode,229,0,0
dblclick,229,0,0
self_msgs,223,0,0
separatedlist,217,0,0
a03,214,0,0
pseudoclasses,212,0,0
ontouchmove,206,0,0
they_effects,204,0,0
rangy,201,0,0
cosφ0,196,0,0
pushstackliteral,193,0,0
disableddatestext,185,0,0
disableddaystext,185,0,0
dispatchids,180,0,0
lockratio,178,0,0
pseudoelements,173,0,0
reactdomcomponent,166,0,0
defheaders,160,0,0
dom__fixedsizelistiterator,160,0,0
_dispatchids,158,0,0
prefixwith,156,0,0
blanktext,149,0,0
_dom_pos,144,0,0
rawfunc,144,0,0
resetsize,142,0,0
deferid,140,0,0
vertexformat,134,0,0
invokepartial,133,0,0
_keystr,132,0,0
anchorname,131,0,0
namesegment,130,0,0
buildinconstants,126,0,0
foundstarmap,125,0,0
reactemptycomponent,121,0,0
setinstanceprop,121,0,0
currants,116,0,0
defheadername,115,0,0
reacttextcomponent,113,0,0
alignmiddle,111,0,0
domrange,111,0,0
structuraltype,104,0,0
mountdepth,103,0,0
builtinconstants,102,0,0
rendertostaticmarkup,102,0,0
emptymsg,99,0,0
popupdependent,98,0,0
popupresizable,98,0,0
popuptoolbar,98,0,0
azimuthal,96,0,0
popuplocationbar,95,0,0
selectanchor,95,0,0
targetpopup,95,0,0
linktab,94,0,0
btnmodify,93,0,0
btnsetvalue,93,0,0
paneltitle1,93,0,0
advancedtab,92,0,0
styleselectlabel,91,0,0
tag_h4,91,0,0
advisorytitleinputlabel,90,0,0
cssclassinputlabel,90,0,0
inlinestyleinputlabel,90,0,0
