Identifier,function-count,property-count,variable-count,others-count
keywordmapper,0,0,0,530
callback,22415,3491,5457,61085
userb,0,23,124,33
displaymsg,0,14,0,88
xmin,0,101,0,343
ls,84,40,172,530
sources,9,300,585,1749
theta,8,175,3,1068
bindbuffer,869,0,0,0
margin,48,1234,3110,3475
dom__fixedsizelistiterator,24,0,16,120
foldingrules,0,391,0,0
r,581,4529,9823,33680
createattribute,181,2,0,13
maroon,0,7,0,152
cut,27,43,380,271
expr,181,5673,11316,10895
facets,0,142,9,102
lockratio,0,64,0,114
movie,6,114,21,51
v2,22,259,689,2192
maxline,0,99,16,64
element_node,0,276,0,122
b01,0,0,0,142
topleveltargetid,0,0,0,426
functionexpression,6,60,3,56
item,2581,2418,16029,30082
obj1,0,1,56,512
scalex,11,394,1,647
vm,2,425,896,709
aligncenter,0,7,0,91
rprotocol,0,0,0,420
targetframe,0,3,6,101
expressions,1,561,229,538
cosφ0,0,0,0,196
fonts,0,304,40,217
fnexists,475,0,0,0
maxlinelength,1,79,0,52
usera,0,30,151,38
month,915,1248,213,4430
content,187,4672,2842,12125
destruct,30,37,1,34
light,15,379,967,598
_owner,0,423,1,9
foundmap,0,0,0,184
parentwindow,0,727,4,27
resetsize,10,12,0,120
mountdepth,0,0,0,103
islength,348,2,0,29
record,96,1081,2500,5377
radians,13,24,0,478
visible,399,2976,106,2036
blur,1523,632,1,1258
client,403,2463,3794,2122
items,105,7752,3296,9914
newlength,0,0,0,364
rurl,0,2,435,226
disableddaystext,0,23,0,162
__dependency2__,0,0,60,186
blanktext,0,19,0,130
getminutes,814,13,0,51
associations,7,45,13,80
deltay,134,293,0,787
alpha,87,1196,232,3166
a12,0,22,1,441
mutator,74,82,4,244
count,741,3330,105,15111
lightblue,0,0,0,105
getrules,276,28,0,24
err,431,510,4298,48931
controller,1023,1798,1780,3379
firstname,45,143,7,474
getpadding,221,11,24,22
nextelement,1,4,135,268
id:$error,4188,157,12,130
defaults,1257,4093,1108,4347
clearinterval,1919,150,2,171
aligntop,0,7,0,122
markers,29,380,282,844
separatedlist,185,0,22,10
odomref,0,2,124,212
cb,4698,208,1213,10883
minute,101,471,6,713
bufferdata,429,0,3,9
invokepartial,17,37,2,77
ts,24,217,5538,1661
abs,8181,245,52,439
face,4,159,2145,1196
geojson,81,72,358,182
generaltab,0,10,0,86
dropdown,124,596,430,372
submit,633,556,25,819
