"id1","id2","Abbreviation","Opposites","Synonyms","Added subtoken","Tricky tokenization"
"equal","eql",1,0,1,0,0
"minVal","minValue",1,0,1,0,0
"substr","substring",1,0,1,0,0
"idx","indx",1,0,1,0,0
"cfg","conf",1,0,1,0,0
"len","ln",1,0,1,0,0
"err","er",1,0,1,0,0
"res","resp",1,0,1,0,0
"btnModify","btnSetValue",0,0,1,0,0
"precondition","prereq",0,0,1,0,0
"records","entries",0,0,1,0,0
"indices","positions",0,0,1,0,0
"reset","refresh",0,0,1,0,0
"clear","refresh",0,0,1,0,0
"item","record",0,0,1,0,0
"emptyText","blankText",0,0,1,0,0
"reset","clear",0,0,1,0,0
"item","entry",0,0,1,0,0
"builtinConstants","buildinConstants",0,0,1,0,0
"objects","records",0,0,1,0,0
"selected","active",0,0,1,0,0
"user","person",0,0,1,0,0
"items","records",0,0,1,0,0
"count","total",0,0,1,0,0
"equals","same",0,0,1,0,0
"alignCenter","alignMiddle",0,0,1,0,0
"minx","ymax",0,1,0,0,1
"xMin","xMax",0,1,0,0,0
"minText","maxText",0,1,0,0,0
"getInstanceProp","setInstanceProp",0,1,0,0,0
"lastName","firstName",0,1,0,0,0
"setInterval","clearInterval",0,1,0,0,0
"rows","columns",0,1,0,0,0
"events","rchecked",0,0,0,0,1
"Int16Array","Uint16Array",0,0,0,1,1
"rlocalProtocol","rprotocol",0,0,0,1,1
"idx","ridx",0,0,0,1,1
"ln","ilen",0,0,0,0,1
"rlocalProtocol","rurl",0,0,0,0,1
"foo","trow",0,0,0,0,1
"cosφ0","cosφ",0,0,0,0,1
"math","miny",0,0,0,0,1
"i","targ",0,0,0,0,1
"miny","ypos",0,0,0,0,1
"id","sessionid",0,0,0,1,1
"id","userid",0,0,0,1,1
"names","filenames",0,0,0,1,1
"content","newtext",0,0,0,0,1
"FONTDATA","FONTS",0,0,0,0,1
"username","userid",0,0,0,0,1
"touchmove","touchend",0,0,0,0,1
"click","mousedown",0,0,0,0,1
"click","mouseup",0,0,0,0,1
"allocate","contextmenu",0,0,0,0,1
"utils","util",0,0,0,0,0
"Lines","CurRange",0,0,0,0,0
"$behaviour","foldingRules",0,0,0,0,0
"hSpace","popupFeatures",0,0,0,0,0
"maxLine","maxLineLength",0,0,0,1,0
"nodeLinkFn","childLinkFn",0,0,0,0,0
"g","r",0,0,0,0,0
"foo","abc",0,0,0,0,0
"foo","bar",0,0,0,0,0
"defHeaders","defHeaderName",0,0,0,0,0
"s1","s2",0,0,0,0,0
"img","thumb",0,0,0,0,0
"a24","a30",0,0,0,0,0
"obj1","obj2",0,0,0,0,0
"oMatchesSelector","msMatchesSelector",0,0,0,0,0
"ui","secret",0,0,0,0,0
"colspan","assignTo",0,0,0,0,0
"self_msgs","they_effects",0,0,0,0,0
"λ0","φ0",0,0,0,0,0
"adjusted_scale","rangy",0,0,0,0,0
"λ0","λ1",0,0,0,0,0
"_owner","nextElement",0,0,0,0,0
"cols","domains",0,0,0,0,0
"VERSION","geoJson",0,0,0,0,0
"listeners","cbs",0,0,0,0,0
"styleSelectLabel","tag_h4",0,0,0,0,0
"expect","bp",0,0,0,0,0
"a11","b12",0,0,0,0,0
"b01","a03",0,0,0,0,0
"vSpace","advisoryTitleInputLabel",0,0,0,0,0
"re","destruct",0,0,0,0,0
"angle","radians",0,0,0,0,0
"black","colours",0,0,0,0,0
"body","currants",0,0,0,0,0
"resetSize","popupFeatures",0,0,0,0,0
"panelTitle","panelTitle1",0,0,0,1,0
"getMinutes","getUTCMinutes",0,0,0,1,0
"blendMode","currentBlendMode",0,0,0,1,0
"targetFrame","targetFrameName",0,0,0,1,0
"dataAndEvents","deepDataAndEvents",0,0,0,1,0
"topLevelTarget","topLevelTargetID",0,0,0,1,0
"ace","__ace_shadowed__",0,0,0,1,0
"fuchsia","pink",0,0,0,0,0
"selectAnchor","anchorName",0,0,0,0,0
"player","peer",0,0,0,0,0
"onTouchStart","onTouchMove",0,0,0,0,0
"angle","theta",0,0,0,0,0
"equal","ok",0,0,0,0,0
"ELEMENT_ARRAY_BUFFER","bufferData",0,0,0,0,0
"files","locations",0,0,0,0,0
"styleSelectLabel","cssClassInputLabel",0,0,0,0,0
"pseudoElements","pseudoClasses",0,0,0,0,0
"renderer","screen",0,0,0,0,0
"sources","adapters",0,0,0,0,0
"destroy","clear",0,0,0,0,0
"decrypt","ciphertext",0,0,0,0,0
"canvas","video",0,0,0,0,0
"ELEMENT_NODE","TEXT_NODE",0,0,0,0,0
"ReactDOMComponent","ReactTextComponent",0,0,0,0,0
"files","images",0,0,0,0,0
"items","ranges",0,0,0,0,0
"expect","assume",0,0,0,0,0
"children","columns",0,0,0,0,0
"userA","userB",0,0,0,0,0
"inputs","resources",0,0,0,0,0
"element","dropdown",0,0,0,0,0
"items","files",0,0,0,0,0
"layers","entries",0,0,0,0,0
"store","storage",0,0,0,0,0
"targetPopup","popupResizable",0,0,0,0,0
"disabledDaysText","disabledDatesText",0,0,0,0,0
"bindBuffer","ARRAY_BUFFER",0,0,0,0,0
"response","alert",0,0,0,0,0
"getBorderWidth","getPadding",0,0,0,0,0
"columns","requests",0,0,0,0,0
"DATE","MONTH",0,0,0,0,0
"files","profiles",0,0,0,0,0
"navy","purple",0,0,0,0,0
"self","that",0,0,0,0,0
"data","azimuthal",0,0,0,0,0
"popupToolbar","popupDependent",0,0,0,0,0
"ReactEmptyComponent","renderToStaticMarkup",0,0,0,0,0
"names","sources",0,0,0,0,0
"place","written",0,0,0,0,0
"PLACEHOLDER","vertexFormat",0,0,0,0,0
"mountDepth","updateComponent",0,0,0,0,0
"raw","movie",0,0,0,0,0
"bindBuffer","ELEMENT_ARRAY_BUFFER",0,0,0,0,0
"split","shim",0,0,0,0,0
"controller","mutator",0,0,0,0,0
"container","submenu",0,0,0,0,0
"CallExpression","BlockStatement",0,0,0,0,0
"pushStackLiteral","oldSelection",0,0,0,0,0
"navy","lightblue",0,0,0,0,0
"lockRatio","alignRight",0,0,0,0,0
"pink","brown",0,0,0,0,0
"lightgreen","lightgrey",0,0,0,0,0
"on","immediate",0,0,0,0,0
"get","facets",0,0,0,0,0
"equal","cut",0,0,0,0,0
"maroon","lightblue",0,0,0,0,0
"newLength","Group",0,0,0,0,0
"toggle","isLength",0,0,0,0,0
"gray","silver",0,0,0,0,0
"remove","focus",0,0,0,0,0
"getRules","foldingRules",0,0,0,0,0
"setMinutes","setSeconds",0,0,0,0,0
"wrapper","scroller",0,0,0,0,0
"ranges","codes",0,0,0,0,0
"images","streams",0,0,0,0,0
"columns","menus",0,0,0,0,0
"image","polyline",0,0,0,0,0
"generalTab","advancedTab",0,0,0,0,0
