id1,id2,similarity,relatedness,contextual_similarity,FT-cbow,FT-SG,w2v-SG,w2v-cbow,Path-based,LV,NW
i,targ,0.3125,0.1718,0.0346,0.22,0.22,0.68,0.27,0.17,0.45,0.45
expr,hint,0.1457,0.2155,NAN,0.11,0.11,0.42,0.28,0.06,0.36,0.36
canvas,video,0.4167,0.7168,0.8173,0.48,0.48,0.57,0.5,0.42,0.78,0.78
idx,indx,0.8542,0.9129,0.9617,0.67,0.67,0.7,0.48,0.33,0.77,0.77
idx,ridx,0.4167,0.6948,0.3234,0.55,0.55,0.77,0.51,0.43,0.74,0.74
right,bottom,0.078,0.7547,NAN,0.69,0.69,0.84,0.84,0.73,0.93,0.93
count,total,0.8088,0.8308,0.7913,0.57,0.57,0.69,0.52,0.54,0.83,0.83
click,mousedown,0.7368,0.9448,0.3079,0.57,0.57,0.69,0.8,0.61,0.91,0.91
change,keyup,0.3542,0.4987,NAN,0.55,0.55,0.65,0.54,0.37,0.81,0.81
change,submit,0.327,0.4367,NAN,0.59,0.59,0.67,0.59,0.45,0.82,0.82
files,players,0.1168,0.1457,NAN,0.26,0.26,0.51,0.4,0.34,0.8,0.8
focus,resize,0.1332,0.3724,NAN,0.3,0.3,0.62,0.68,0.55,0.8,0.8
reset,refresh,0.639,0.8112,0.9822,0.45,0.45,0.63,0.67,0.53,0.86,0.86
pushStackLiteral,oldSelection,0.05,0.1807,0.231,0.13,0.13,0.27,0.25,0.07,0.55,0.55
onAdd,onRemove,0.0192,0.9396,NAN,0.81,0.81,0.86,0.91,0.8,0.94,0.94
black,colours,0.077,0.8593,0.242,0.42,0.42,0.74,0.75,0.6,0.53,0.53
maroon,darkred,0.7115,0.819,NAN,0.45,0.45,0.73,0.64,0.42,0.84,0.84
cosφ0,cosφ,0.625,0.891,0.7597,0.94,0.94,0.97,0.85,0.6,0.0,0.0
allocate,contextmenu,0.1138,0.1441,0.0831,0.02,0.02,0.27,0.18,0.06,0.47,0.47
response,alert,0.3087,0.6002,0.5999,0.33,0.33,0.53,0.53,0.33,0.31,0.31
filename,fullname,0.1785,0.2903,NAN,0.65,0.65,0.65,0.69,0.31,0.72,0.72
objects,records,0.6428,0.6825,0.8931,0.5,0.5,0.58,0.52,0.54,0.77,0.77
ln,ilen,0.6965,0.7571,0.8591,0.44,0.44,0.64,0.5,0.34,0.89,0.89
tasks,todos,0.9525,0.9378,NAN,0.5,0.5,0.6,0.5,0.23,0.79,0.79
images,authors,0.0418,0.2445,NAN,0.33,0.33,0.54,0.43,0.24,0.73,0.73
editable,dropdown,0.0588,0.2769,NAN,0.3,0.3,0.51,0.5,0.35,0.73,0.73
sources,adapters,0.375,0.5703,0.841,0.34,0.34,0.46,0.37,0.25,0.69,0.69
ReactDOMComponent,ReactTextComponent,0.544,0.7231,0.8138,0.94,0.94,0.86,0.68,0.43,0.82,0.82
λ0,φ0,0.2668,0.6339,0.242,0.92,0.92,0.91,0.87,0.61,0.0,0.0
xMin,xMax,0.0207,0.9783,0.3719,0.9,0.9,0.95,0.98,0.86,0.9,0.9
FunctionExpression,FunctionDeclaration,0.2885,0.819,NAN,0.88,0.88,0.82,0.89,0.82,0.96,0.96
Lines,CurRange,0.3077,0.3763,0.7382,0.58,0.58,0.68,0.87,0.71,0.39,0.39
foundMap,foundStarMap,0.6923,0.819,NAN,0.91,0.91,0.86,0.94,0.74,0.89,0.89
columns,cols,0.9583,0.9419,NAN,0.78,0.78,0.81,0.79,0.72,0.83,0.83
dm,_queueHooks,0.15,0.198,NAN,0.0,0.0,0.34,0.07,-0.02,0.3,0.3
fuchsia,pink,0.7345,0.8692,0.9877,0.28,0.28,0.77,0.75,0.64,0.95,0.95
maxLine,maxLineLength,0.5833,0.8039,0.7225,0.82,0.82,0.88,0.9,0.75,0.83,0.83
ExpressionStatement,FunctionDeclaration,0.3157,0.6423,NAN,0.66,0.66,0.67,0.73,0.49,0.92,0.92
addCls,removeCls,0.1457,0.8256,NAN,0.85,0.85,0.92,0.98,0.85,0.96,0.96
object2,overlapOnly,0.0588,0.0154,NAN,0.44,0.44,0.67,0.74,0.57,0.46,0.46
nameSegment,foundStarMap,0.125,0.0411,NAN,0.37,0.37,0.6,0.91,0.63,0.76,0.76
_selection,_sel,0.9808,0.9799,NAN,0.81,0.81,0.82,0.67,0.45,0.45,0.45
alignCenter,alignMiddle,0.625,0.8692,0.5563,0.87,0.87,0.9,0.89,0.81,0.94,0.94
alignTop,popupLocationBar,0.0973,0.2592,NAN,0.39,0.39,0.49,0.56,0.39,0.0,0.0
targetFrame,targetFrameName,0.8035,0.8878,0.935,0.91,0.91,0.93,0.89,0.71,0.81,0.81
angle,radians,0.5312,0.8692,0.9052,0.63,0.63,0.78,0.79,0.61,0.83,0.83
miny,ymin,0.9615,0.7989,NAN,0.48,0.48,0.81,0.7,0.5,0.9,0.9
element,dropdown,0.2917,0.477,0.7578,0.41,0.41,0.56,0.52,0.46,0.7,0.7
equal,eql,0.9723,0.971,0.983,0.7,0.7,0.79,0.69,0.7,0.72,0.72
item,entry,0.7763,0.7798,0.9186,0.4,0.4,0.63,0.64,0.52,0.84,0.84
events,rchecked,0.1427,0.1595,0.1819,0.19,0.19,0.31,0.22,-0.0,0.26,0.26
image,polyline,0.2223,0.3609,0.0247,0.2,0.2,0.44,0.37,0.15,0.75,0.75
