id1,id2,similarity,relatedness,contextual_similarity,FT-cbow,FT-SG,w2v-SG,w2v-cbow,Path-based,LV,NW
i,targ,0.341,0.1963,0.0346,0.22,0.22,0.68,0.27,0.17,0.45,0.45
canvas,video,0.3638,0.6927,NAN,0.48,0.48,0.57,0.5,0.42,0.78,0.78
idx,indx,0.9318,0.929,0.9617,0.67,0.67,0.7,0.48,0.33,0.77,0.77
idx,ridx,0.4317,0.669,0.3234,0.55,0.55,0.77,0.51,0.43,0.74,0.74
right,bottom,0.0832,0.7574,NAN,0.69,0.69,0.84,0.84,0.73,0.93,0.93
count,total,0.8125,0.8211,0.7913,0.57,0.57,0.69,0.52,0.54,0.83,0.83
click,mousedown,0.7812,0.935,0.3079,0.57,0.57,0.69,0.8,0.61,0.91,0.91
change,keyup,0.3542,0.5016,NAN,0.55,0.55,0.65,0.54,0.37,0.81,0.81
change,submit,0.3542,0.48,NAN,0.59,0.59,0.67,0.59,0.45,0.82,0.82
files,players,0.125,0.1456,NAN,0.26,0.26,0.51,0.4,0.34,0.8,0.8
focus,resize,0.1457,0.3716,NAN,0.3,0.3,0.62,0.68,0.55,0.8,0.8
reset,refresh,0.6178,0.8011,0.9822,0.45,0.45,0.63,0.67,0.53,0.86,0.86
pushStackLiteral,oldSelection,0.0385,0.1599,0.231,0.13,0.13,0.27,0.25,0.07,0.55,0.55
onAdd,onRemove,0.0207,0.9566,NAN,0.81,0.81,0.86,0.91,0.8,0.94,0.94
black,colours,0.0832,0.87,0.242,0.42,0.42,0.74,0.75,0.6,0.53,0.53
cosφ0,cosφ,0.591,0.8817,0.7597,0.94,0.94,0.97,0.85,0.6,0.0,0.0
allocate,contextmenu,0.1,0.142,0.0831,0.02,0.02,0.27,0.18,0.06,0.47,0.47
response,alert,0.2082,0.5884,NAN,0.33,0.33,0.53,0.53,0.33,0.31,0.31
filename,fullname,0.15,0.246,NAN,0.65,0.65,0.65,0.69,0.31,0.72,0.72
ln,ilen,0.6923,0.76,0.8591,0.44,0.44,0.64,0.5,0.34,0.89,0.89
tasks,todos,0.9823,0.9444,NAN,0.5,0.5,0.6,0.5,0.23,0.79,0.79
images,authors,0.0167,0.3066,NAN,0.33,0.33,0.54,0.43,0.24,0.73,0.73
editable,dropdown,0.0578,0.3201,NAN,0.3,0.3,0.51,0.5,0.35,0.73,0.73
sources,adapters,0.4,0.532,NAN,0.34,0.34,0.46,0.37,0.25,0.69,0.69
