Type,File,Model,rho value,P-value
similarity,large,ft_cbow_w5_100.vec,0.392,3.82025068644265E-12
similarity,large,ft_cbow_w5_25.vec,0.367,1.0006291797522E-10
similarity,large,ft_cbow_w5_50.vec,0.367,1.00442997819505E-10
similarity,large,ft_cbow_ws5_300.model.vec,0.392,3.85083263656251E-12
similarity,large,ft_cbow_w5_10.vec,0.324,1.61645780867411E-08
similarity,large,ft_cbow_w5_200.vec,0.384,1.2460989675862E-11
similarity,large,ft_cbow_w5_5.vec,0.298,2.13856728540535E-07
similarity,large,ft_skip_w5_5.vec,0.188,0.001291985156946
similarity,large,ft_skip_w5_100.vec,0.292,3.79220699488096E-07
similarity,large,ft_skip_w5_50.vec,0.271,2.76349213029588E-06
similarity,large,ft_skip_w5_200.vec,0.311,6.17698888903812E-08
similarity,large,ft_skip_w5_25.vec,0.259,7.7162307655509E-06
similarity,large,ft_skip_ws5_300.model.vec,0.313,4.84166816415699E-08
similarity,large,ft_skip_w5_10.vec,0.216,0.000209759980941
similarity,large,wv_cbow_100_w5.model,0.237,4.40946925462924E-05
similarity,large,wv_cbow_25_w5.model,0.218,0.00017546321178
similarity,large,wv_cbow_50_w5.model,0.238,3.98012406086918E-05
similarity,large,wv_cbow_10_w5.model,0.217,0.000195116721786
similarity,large,wv_cbow_300_w5.model,0.236,4.85348971464253E-05
similarity,large,wv_cbow_5_w5.model,0.184,0.001622557912156
similarity,large,wv_cbow_200_w5.model,0.25,1.63355669318691E-05
similarity,large,wv_sg_50_w5.model,0.208,0.000344405947006
similarity,large,wv_sg_25_w5.model,0.211,0.000282132461795
similarity,large,wv_sg_200_w5.model,0.193,0.00096010472131
similarity,large,wv_sg_100_w5.model,0.197,0.0007449201249
similarity,large,wv_sg_10_w5.model,0.193,0.000949999198437
similarity,large,wv_sg_300_w5.model,0.193,0.000917277603303
similarity,large,wv_sg_5_w5.model,0.163,0.005232825491371
similarity,large,path_5.bin,0.177,0.003697024899094
similarity,large,path_200.bin,0.124,0.042890809746241
similarity,large,path_150.bin,0.142,0.020500416415365
