id1,id2,contextual_similarity,similarity,relatedness,FT-cbow,FT-SG,w2v-SG,w2v-cbow,Path-based,LV,NW
records,entries,1.0,0.8685,0.8624,0.41,0.53,0.43,0.42,0.76,0.5833,0.75
fuchsia,pink,0.9877,0.7345,0.8692,0.28,0.77,0.75,0.64,0.95,0.4167,0.5833
indices,positions,0.983,0.6965,0.8133,0.29,0.59,0.49,0.5,0.71,0.5,0.6786
equal,eql,0.983,0.9723,0.971,0.7,0.79,0.69,0.7,0.72,0.8,0.8
reset,refresh,0.9822,0.639,0.8112,0.45,0.63,0.67,0.53,0.86,0.6667,0.75
getMinutes,getUTCMinutes,0.9794,0.725,0.9085,0.93,0.87,0.83,0.67,0.95,0.8333,0.8333
selectAnchor,anchorName,0.9745,0.422,0.7385,0.6,0.73,0.85,0.69,0.99,0.3529,0.6176
clear,refresh,0.9717,0.4738,0.711,0.55,0.66,0.73,0.57,0.81,0.5,0.6667
item,record,0.9662,0.6765,0.7694,0.29,0.57,0.54,0.41,0.77,0.4545,0.6364
player,peer,0.966,0.45,0.5991,0.53,0.64,0.53,0.35,0.68,0.7273,0.7727
emptyText,blankText,0.966,0.8678,0.9077,0.67,0.73,0.7,0.59,0.92,0.6429,0.8214
idx,indx,0.9617,0.8542,0.9129,0.67,0.7,0.48,0.33,0.77,0.8889,0.8889
utils,util,0.9526,0.8088,0.9846,0.71,0.73,0.67,0.56,0.9,0.9,0.9
reset,clear,0.945,0.897,0.9077,0.52,0.69,0.75,0.68,0.93,0.5,0.75
rlocalProtocol,rprotocol,0.9428,0.7083,0.8839,0.92,0.78,0.71,0.27,0.81,0.6842,0.7105
cfg,conf,0.9428,0.9445,0.8546,0.43,0.66,0.59,0.4,0.73,0.6667,0.7778
onTouchStart,onTouchMove,0.9397,0.4545,0.7861,0.88,0.92,0.96,0.82,0.96,0.7059,0.8235
targetFrame,targetFrameName,0.935,0.8035,0.8878,0.91,0.93,0.89,0.71,0.81,0.8,0.8
content,newtext,0.9284,0.3393,0.477,0.35,0.57,0.37,0.06,0.51,0.6667,0.8333
res,resp,0.9224,0.6042,0.6077,0.68,0.81,0.68,0.51,0.9,0.8889,0.8889
Int16Array,Uint16Array,0.9195,0.4625,0.9215,0.91,0.91,0.92,0.59,0.83,0.875,0.9062
item,entry,0.9186,0.7763,0.7798,0.4,0.63,0.64,0.52,0.84,0.6,0.75
blendMode,currentBlendMode,0.9186,0.75,0.9038,0.79,0.88,0.81,0.58,0.79,0.619,0.6429
angle,theta,0.9186,0.625,0.7571,0.52,0.74,0.83,0.54,0.85,0.5,0.75
id,sessionid,0.9169,0.7205,0.8462,0.41,0.55,0.41,0.2,0.71,0.5,0.5
equal,ok,0.9052,0.3195,0.3753,0.7,0.8,0.67,0.63,0.76,0.5,0.6
angle,radians,0.9052,0.5312,0.8692,0.63,0.78,0.79,0.61,0.83,0.5,0.6667
builtinConstants,buildinConstants,0.9023,0.6315,0.8073,0.91,0.92,0.92,0.82,0.97,0.9524,0.9762
objects,records,0.8931,0.6428,0.6825,0.5,0.58,0.52,0.54,0.77,0.5,0.75
FONTDATA,FONTS,0.8931,0.578,0.853,0.92,0.92,0.98,0.95,0.75,0.6923,0.7308
selected,active,0.892,0.7763,0.8486,0.37,0.54,0.52,0.49,0.77,0.4615,0.6538
substr,substring,0.8889,1.0,0.9419,0.91,0.86,0.89,0.88,0.97,0.7857,0.7857
err,er,0.8889,0.7115,0.7586,0.74,0.8,0.72,0.6,0.9,0.875,0.875
nodeLinkFn,childLinkFn,0.8763,0.75,0.8593,0.84,0.89,0.95,0.71,0.75,0.6875,0.8125
ELEMENT_ARRAY_BUFFER,bufferData,0.875,0.5312,0.8366,0.51,0.75,0.9,0.63,0.55,0.2,0.4
